"성북구",정릉2동,12.6,28.4,225.8
"성북구",정릉3동,6.9,27.5,397.5
"성북구",정릉4동,12.9,28.3,219.5
"성북구",길음1동,24.2,19.8,81.8
"성북구",길음2동,19.7,20.0,101.4
"성북구",월곡1동,16.1,26.9,167.1
"성북구",월곡2동,10.8,25.8,239.0
"성북구",장위1동,14.4,24.2,168.3
"성북구",장위2동,9.7,32.9,339.7
"성북구",장위3동,19.9,19.2,96.6
"성북구",성북동,9.8,24.6,250.6
"성북구",삼선동,9.5,23.2,243.0
"성북구",동선동,6.3,17.1,270.1
"성북구",종암동,13.6,24.0,176.4
"성북구",석관동,11.1,29.9,270.6
"강북구",소계,10.7,31.7,297.2
"강북구",번1동,7.2,27.7,382.2
"강북구",번2동,8.9,39.8,446.8
"강북구",번3동,12.6,46.2,366.0
"강북구",수유1동,9.4,31.5,333.8
"강북구",수유2동,10.3,35.5,346.1
"강북구",수유3동,6.1,26.9,442.0
"강북구",삼양동,11.2,30.9,275.5
"강북구",미아동,7.8,29.2,376.2
"강북구",송중동,11.0,29.1,264.4
"강북구",송천동,8.0,34.4,429.8
"강북구",삼각산동,20.5,21.6,105.8
"강북구",우이동,11.2,36.1,321.6
"강북구",인수동,11.1,35.4,317.7
"도봉구",소계,12.1,30.4,250.7
"도봉구",쌍문1동,11.1,31.4,283.0
"도봉구",쌍문2동,11.0,31.0,282.6
"도봉구",쌍문3동,10.0,29.1,291.7
"도봉구",쌍문4동,14.7,24.9,170.1
"도봉구",방학1동,11.4,31.0,271.1
"도봉구",방학2동,10.4,34.4,331.0
"도봉구",방학3동,16.2,29.6,183.4
"도봉구",창1동,12.9,28.0,217.7
"도봉구",창2동,11.9,26.2,220.9
"도봉구",창3동,11.4,32.0,280.5
"도봉구",창4동,13.6,23.7,173.5
"도봉구",창5동,12.0,26.2,218.5
"도봉구",도봉1동,9.0,44.0,488.1
"도봉구",도봉2동,12.3,38.9,317.0
"노원구",소계,14.0,25.2,180.7
"노원구",월계1동,10.9,27.4,251.3
"노원구",월계2동,13.4,34.2,255.7
"노원구",월계3동,14.4,31.7,219.9
"노원구",공릉2동,16.2,18.8,116.4
"노원구",하계1동,10.2,23.2,228.0
"노원구",하계2동,16.2,21.7,133.8
"노원구",중계본동,18.8,14.9,79.3
"노원구",중계1동,22.2,13.0,58.7
"노원구",중계4동,13.8,30.4,221.2
"노원구",상계1동,12.8,28.2,220.2
"노원구",상계2동,10.2,24.1,237.3
"노원구",상계5동,10.2,31.2,305.1
"노원구",상계8동,18.9,18.8,99.8
"노원구",상계9동,13.5,25.5,189.3
"노원구",상계10동,14.1,21.4,151.6
"노원구",상계3.4동,11.9,36.1,303.4
"노원구",상계6.7동,14.4,22.5,156.5
"노원구",중계2.3동,12.7,33.4,263.9
"노원구",공릉1동,10.3,25.0,242.3
"은평구",소계,12.8,26.5,207.4
"은평구",녹번동,12.7,28.0,219.4
"은평구",불광1동,11.6,29.4,252.9
"은평구",갈현1동,9.1,28.5,314.5
"은평구",갈현2동,10.9,25.1,230.2
"은평구",구산동,11.6,27.8,239.2
"은평구",대조동,8.2,26.0,316.2
"은평구",응암1동,15.5,22.4,144.6
"은평구",응암2동,22.8,21.4,93.6
"은평구",신사1동,11.3,26.7,237.1
"은평구",신사2동,11.3,28.4,250.3
"은평구",증산동,13.3,27.0,203.2
"은평구",수색동,13.8,25.0,181.1
"은평구",진관동,18.8,22.1,117.6
"은평구",불광2동,7.9,31.3,398.3
"은평구",응암3동,8.4,33.7,400.1
"은평구",역촌동,11.2,26.9,239.8
"서대문구",소계,12.6,23.9,189.2
"서대문구",천연동,14.3,27.2,190.9
"서대문구",홍제1동,13.4,27.7,206.2
"서대문구",홍제3동,12.1,31.7,263.0
"서대문구",홍제2동,11.5,29.5,256.0
"서대문구",홍은1동,13.1,29.4,225.4
"서대문구",홍은2동,11.0,26.8,244.3
"서대문구",남가좌1동,28.0,20.2,72.0
"서대문구",남가좌2동,16.7,22.8,136.9
"서대문구",북가좌1동,17.5,24.8,141.7
"서대문구",북가좌2동,10.3,29.1,283.3
"서대문구",충현동,11.7,23.1,197.7
"서대문구",북아현동,16.3,20.1,123.0
"서대문구",신촌동,4.5,9.3,207.7
"서대문구",연희동,9.2,21.6,235.6
"마포구",소계,12.5,19.7,157.5
"마포구",용강동,20.8,19.6,94.2
"마포구",대흥동,7.4,15.1,203.3
"마포구",염리동,16.9,15.7,92.7
"마포구",신수동,14.5,20.1,138.8
"마포구",서교동,5.3,15.0,284.1
"마포구",합정동,8.4,20.2,240.4
"마포구",망원1동,9.3,22.8,244.9
"마포구",망원2동,12.0,23.7,198.0
"마포구",연남동,7.0,19.5,278.7
"마포구",성산1동,9.5,20.8,218.3
"마포구",성산2동,11.8,21.7,184.3
"마포구",상암동,18.6,19.1,102.7
"마포구",도화동,13.9,25.1,180.7
"마포구",서강동,12.9,16.8,130.7
"마포구",공덕동,10.9,21.5,197.8
"마포구",아현동,19.1,17.8,93.2
"양천구",소계,16.0,22.6,141.3
"양천구",목1동,24.0,16.1,66.9
"양천구",목2동,10.9,19.4,177.5
"양천구",목3동,10.5,21.9,208.9
"양천구",목4동,13.1,17.8,136.2
"양천구",신월1동,9.5,30.7,325.0
"양천구",신월2동,14.8,28.7,193.6
"양천구",신월3동,11.3,29.1,256.7
"양천구",신월4동,16.6,28.6,172.6
"양천구",신월5동,13.0,25.1,192.9
"양천구",신월6동,20.7,20.8,100.5
"양천구",신월7동,10.4,33.3,321.7
"양천구",신정1동,22.1,20.3,92.1
"양천구",신정2동,18.6,19.9,106.8
"양천구",신정3동,17.0,22.3,130.9
"양천구",신정6동,21.2,17.5,82.2
"양천구",신정7동,16.6,26.5,159.9
"양천구",목5동,22.9,17.3,75.6
"양천구",신정4동,9.4,25.1,267.4
"강서구",소계,13.0,23.0,176.3
"강서구",염창동,19.2,15.0,78.2
"강서구",등촌1동,8.9,15.2,169.6
"강서구",등촌2동,11.8,22.7,192.4
"강서구",등촌3동,11.1,34.2,307.7
"강서구",화곡본동,11.0,19.8,180.2
"강서구",화곡2동,12.3,23.3,189.4
"강서구",화곡3동,12.0,27.7,231.1
"강서구",화곡4동,10.9,27.3,251.1
"강서구",화곡6동,9.0,21.4,238.2
"강서구",화곡8동,9.7,25.4,262.5
"강서구",가양1동,8.0,11.5,143.7
"강서구",가양2동,7.3,49.6,683.7
"강서구",가양3동,8.8,38.9,442.4
"강서구",발산1동,19.7,19.8,100.4
"강서구",공항동,20.0,20.1,100.1
"강서구",방화1동,19.0,23.4,123.4
"강서구",방화2동,10.6,30.4,286.1
"강서구",방화3동,12.1,36.5,302.7
"강서구",화곡1동,8.2,21.5,263.3
"강서구",우장산동,19.2,20.2,105.3
"구로구",소계,13.4,25.1,187.7
"구로구",신도림동,19.8,19.2,97.1
"구로구",구로1동,17.5,18.6,106.6
"구로구",구로3동,9.6,18.6,193.4
"구로구",구로4동,8.0,28.8,360.2
"구로구",구로5동,10.2,20.7,204.0
"구로구",고척1동,13.1,24.5,187.5
"구로구",고척2동,13.4,30.0,224.2
"구로구",개봉2동,13.7,32.4,237.0
"구로구",개봉3동,11.4,31.5,277.0
"구로구",오류1동,9.3,24.1,259.2
"구로구",오류2동,13.0,28.7,220.0
"구로구",수궁동,5.2,21.8,419.5
"구로구",가리봉동,8.4,27.6,329.8
"구로구",구로2동,12.9,27.7,215.3
"구로구",개봉1동,18.2,28.2,154.9
"구로구",항동,30.8,15.9,51.6
"금천구",소계,10.0,23.6,235.7
"금천구",가산동,4.4,12.4,280.1
"금천구",독산1동,12.0,16.8,139.8
"금천구",독산2동,9.4,25.3,271.0
"금천구",독산3동,7.8,23.6,300.2
"금천구",독산4동,9.0,25.2,279.2
"금천구",시흥1동,10.5,26.2,250.0
"금천구",시흥2동,16.0,30.1,187.9
"금천구",시흥3동,10.4,33.2,318.0
"금천구",시흥4동,10.9,30.1,277.7
"금천구",시흥5동,10.6,34.1,322.6
"영등포구",소계,12.5,21.9,175.4
"영등포구",여의동,18.3,28.4,155.0
"영등포구",당산1동,9.4,22.2,237.2
"영등포구",당산2동,13.1,17.0,129.9
"영등포구",양평1동,12.3,16.8,137.4
"영등포구",양평2동,12.3,14.8,120.4
"영등포구",신길1동,7.9,23.1,293.0
"영등포구",신길3동,14.0,26.9,192.5
"영등포구",신길4동,14.0,26.7,190.0
"영등포구",신길5동,14.5,26.9,185.9
"영등포구",신길6동,11.3,24.1,212.3
"영등포구",신길7동,20.4,18.6,91.5
"영등포구",대림1동,11.3,27.9,247.5
"영등포구",대림2동,7.6,24.0,315.0
"영등포구",대림3동,10.2,25.7,252.7
"영등포구",영등포본동,11.6,26.7,230.8
"영등포구",영등포동,6.1,13.6,222.7
"영등포구",도림동,9.4,22.9,244.7
"영등포구",문래동,20.1,21.0,104.3
"동작구",소계,11.9,23.7,198.4
"동작구",노량진2동,4.9,26.4,533.1
"동작구",상도1동,10.9,21.1,193.8
"동작구",상도2동,16.6,21.8,131.2
"동작구",상도3동,9.1,25.4,280.1
"동작구",상도4동,10.8,25.6,236.3
"동작구",사당1동,5.5,21.5,388.8
"동작구",사당3동,16.1,27.7,172.3
"동작구",사당4동,8.4,26.4,313.4
"동작구",사당5동,12.9,23.1,179.1
"동작구",대방동,13.0,21.0,161.7
"동작구",신대방1동,14.0,22.2,158.8
"동작구",신대방2동,14.5,20.9,144.1
"동작구",흑석동,14.0,23.6,168.9
"동작구",노량진1동,10.7,25.2,234.7
"동작구",사당2동,13.2,28.7,216.9
"관악구",소계,7.9,21.2,269.1
"관악구",보라매동,8.8,25.4,287.4
"관악구",청림동,15.7,27.0,171.9
"관악구",행운동,6.4,19.2,301.1
"관악구",낙성대동,5.9,13.6,229.9
"관악구",중앙동,4.8,18.9,398.2
"관악구",인헌동,7.5,20.3,269.0
"관악구",남현동,8.1,21.0,257.7
"관악구",서원동,4.6,17.7,383.0
"관악구",신원동,5.5,23.1,417.1
"관악구",서림동,5.8,18.8,326.6
"관악구",신사동,6.1,18.7,304.4
"관악구",신림동,2.2,9.3,434.3
"관악구",난향동,16.0,27.1,169.6
"관악구",조원동,6.8,19.2,283.0
"관악구",대학동,5.0,14.5,290.5
"관악구",은천동,12.6,25.5,202.2
"관악구",성현동,14.8,27.4,185.0
"관악구",청룡동,5.9,15.5,261.4
"관악구",난곡동,9.5,29.1,307.0
"관악구",삼성동,8.7,39.5,455.3
"관악구",미성동,11.0,27.5,249.0
"서초구",소계,17.8,21.2,119.0
"서초구",서초1동,14.2,20.5,144.9
"서초구",서초2동,18.0,17.1,94.6
"서초구",서초3동,11.5,20.4,177.9
"서초구",서초4동,22.7,20.4,90.0
"서초구",잠원동,17.8,17.4,98.0
"서초구",반포본동,23.0,20.1,87.2
"서초구",반포1동,21.3,16.6,77.8
"서초구",반포2동,30.0,20.1,66.8
"서초구",반포3동,21.1,20.3,96.5
"서초구",반포4동,20.2,21.9,108.7
"서초구",방배본동,18.0,21.5,119.6
"서초구",방배1동,13.4,24.5,182.3
"서초구",방배2동,13.2,26.8,202.6
"서초구",방배3동,16.4,27.4,167.4
"서초구",방배4동,16.3,21.1,129.9
"서초구",양재1동,18.6,24.3,130.7
"서초구",양재2동,11.3,18.4,163.4
"서초구",내곡동,22.1,30.0,135.8
"강남구",소계,16.0,21.0,130.8
"강남구",신사동,14.1,27.4,194.3
"강남구",개포3동,16.8,30.1,179.7
"강남구",논현1동,5.4,16.5,304.8
"강남구",논현2동,9.5,19.8,209.2
"강남구",삼성1동,14.0,24.0,171.6
"강남구",삼성2동,17.1,16.9,98.8
"강남구",대치1동,24.9,15.9,63.9
"강남구",대치4동,9.3,13.1,140.6
"강남구",역삼1동,4.8,12.2,251.2
"강남구",역삼2동,19.6,14.0,71.3
"강남구",도곡1동,18.8,20.4,108.7
"강남구",도곡2동,21.8,22.5,103.2
"강남구",개포1동,17.5,37.6,215.0
"강남구",개포4동,15.3,20.0,130.7
"강남구",일원본동,22.7,21.1,93.2
"강남구",일원1동,10.6,32.3,304.8
"강남구",수서동,9.1,56.9,623.9
"강남구",세곡동,20.5,22.8,111.3
"강남구",압구정동,18.8,30.5,162.0
"강남구",청담동,15.9,20.4,128.7
"강남구",대치2동,18.8,20.0,106.4
"강남구",개포2동,20.2,18.8,92.9
"송파구",소계,15.6,21.4,136.4
"송파구",풍납1동,10.2,30.9,302.6
"송파구",풍납2동,15.2,22.8,149.4
"송파구",거여1동,10.0,28.2,281.8
"송파구",거여2동,16.6,25.7,154.7
"송파구",마천1동,11.5,33.7,292.1
"송파구",마천2동,9.1,32.8,359.3
"송파구",방이1동,14.9,20.4,137.0
"송파구",방이2동,7.0,17.1,244.5
"송파구",오륜동,19.5,24.9,127.7
"송파구",오금동,13.9,24.9,178.7
"송파구",송파1동,8.4,19.3,229.1
"송파구",송파2동,16.5,22.2,133.9
"송파구",석촌동,8.7,18.9,218.5
"송파구",삼전동,9.1,17.6,193.3
"송파구",가락본동,11.4,20.4,179.5
"송파구",가락1동,23.2,19.8,85.6
"송파구",가락2동,16.4,19.4,117.7
"송파구",문정1동,12.4,21.6,173.9
"송파구",문정2동,9.9,18.6,187.9
"송파구",장지동,8.0,17.3,216.1
"송파구",위례동,27.8,20.8,75.1
"송파구",잠실본동,19.0,26.1,137.3
"송파구",잠실4동,14.9,35.7,240.3
"송파구",잠실6동,27.1,16.1,59.4
"송파구",잠실7동,20.9,26.2,125.4
"송파구",잠실2동,15.1,21.7,144.2
"송파구",잠실3동,33.4,11.7,34.9
"강동구",소계,15.9,23.5,148.3
"강동구",강일동,21.6,25.8,119.3
"강동구",명일1동,17.8,23.5,132.1
"강동구",명일2동,17.8,22.6,127.2
"강동구",고덕1동,27.5,18.4,66.9
"강동구",고덕2동,23.8,20.0,84.0
"강동구",암사2동,16.6,23.5,141.6
"강동구",암사3동,23.0,23.7,102.7
"강동구",천호1동,10.3,28.4,274.6
"강동구",천호3동,8.7,24.0,276.4
"강동구",성내1동,15.3,22.0,144.3
"강동구",성내2동,8.2,25.4,309.3
"강동구",성내3동,10.3,23.8,232.2
"강동구",둔촌1동,6.9,19.0,275.0
"강동구",둔촌2동,13.7,24.1,175.7
"강동구",암사1동,12.1,25.3,208.4
"강동구",천호2동,9.7,24.3,250.6
"강동구",길동,10.3,25.4,245.5
"강동구",상일1동,27.5,18.0,65.3
"강동구",상일2동,22.3,23.3,104.9
