,행정동,기초생활수급자인원,노년부양비,독거노인수,고령자수
153,신정1동,263,20.3,97.0,2840
154,신정2동,711,19.9,311.0,2728
155,신정3동,2380,22.3,634.0,8081
156,신정6동,77,17.5,19.0,3041
157,신정7동,1781,26.5,760.0,5283
158,목5동,49,17.3,18.0,5033
159,신정4동,1758,25.1,555.0,6140
160,염창동,233,15.0,88.0,4650
161,등촌1동,309,15.2,88.0,3048
162,등촌2동,432,22.7,125.0,3350
163,등촌3동,5507,34.2,1970.0,7059
164,화곡본동,1904,19.8,481.0,5149
165,화곡2동,935,23.3,274.0,3047
166,화곡3동,677,27.7,205.0,4280
167,화곡4동,1228,27.3,365.0,4034
168,화곡6동,1019,21.4,333.0,4147
169,화곡8동,1145,25.4,319.0,4553
170,가양1동,307,11.5,80.0,3292
171,가양2동,3330,49.6,1457.0,4394
172,가양3동,2312,38.9,926.0,3860
173,발산1동,1546,19.8,366.0,5132
174,공항동,1771,20.1,418.0,4398
175,방화1동,1210,23.4,386.0,7037
176,방화2동,1698,30.4,724.0,5021
177,방화3동,2276,36.5,978.0,5531
178,화곡1동,1971,21.5,640.0,8695
179,우장산동,694,20.2,210.0,6203
180,신도림동,188,19.2,83.0,4984
181,구로1동,100,18.6,45.0,2857
182,구로3동,492,18.6,176.0,3548
183,구로4동,957,28.8,457.0,4597
184,구로5동,496,20.7,255.0,4854
185,고척1동,667,24.5,216.0,4551
186,고척2동,1176,30.0,439.0,5526
187,개봉2동,811,32.4,318.0,6774
188,개봉3동,658,31.5,240.0,4445
189,오류1동,1099,24.1,449.0,4158
190,수궁동,931,21.8,310.0,4703
191,가리봉동,643,27.6,300.0,1954
192,구로2동,1128,27.7,515.0,5713
193,개봉1동,1645,28.2,486.0,6669
194,오류2동,1774,28.7,491.0,7373
195,항동,598,15.9,89.0,1785
196,가산동,801,12.4,289.0,2726
197,독산1동,1765,16.8,602.0,6124
198,독산2동,1329,25.3,461.0,3615
199,독산3동,1102,23.6,455.0,4678
200,독산4동,919,25.2,294.0,3016
201,시흥1동,1627,26.2,686.0,6443
202,시흥2동,1295,30.1,531.0,4291
203,시흥3동,414,33.2,166.0,2464
204,시흥4동,1275,30.1,486.0,4365
205,시흥5동,1768,34.1,681.0,4504
206,여의동,135,28.4,47.0,6341
207,당산1동,569,22.2,230.0,3479
208,당산2동,294,17.0,100.0,4830
209,양평1동,314,16.8,125.0,2416
210,양평2동,278,14.8,112.0,2625
211,신길1동,953,23.1,398.0,3511
212,신길3동,811,26.9,293.0,3236
213,신길4동,707,26.7,325.0,2416
214,신길5동,577,26.9,232.0,2060
215,신길6동,529,24.1,232.0,3429
216,신길7동,289,18.6,118.0,2657
217,대림1동,636,27.9,276.0,3168
218,대림2동,517,24.0,256.0,2846
219,대림3동,909,25.7,336.0,4600
220,영등포본동,1020,26.7,451.0,4257
221,영등포동,1635,13.6,620.0,3395
222,도림동,802,22.9,364.0,3260
223,문래동,276,21.0,129.0,4823
224,노량진2동,884,26.4,333.0,2221
225,상도1동,1231,21.1,510.0,7352
226,상도2동,522,21.8,188.0,4390
227,상도3동,1141,25.4,339.0,4607
228,상도4동,1386,25.6,444.0,5339
229,사당1동,784,21.5,266.0,3874
230,사당3동,585,27.7,177.0,4656
231,사당4동,563,26.4,203.0,2770
232,사당5동,377,23.1,141.0,2443
233,대방동,1519,21.0,516.0,5805
234,신대방1동,597,22.2,251.0,3947
235,신대방2동,589,20.9,186.0,3456
236,흑석동,863,23.6,272.0,5254
237,노량진1동,1213,25.2,467.0,5949
238,사당2동,589,28.7,276.0,5809
239,보라매동,1158,25.4,376.0,4635
240,청림동,620,27.0,258.0,2834
241,행운동,1040,19.2,421.0,4515
242,낙성대동,444,13.6,137.0,2025
243,중앙동,608,18.9,233.0,2393
244,인헌동,761,20.3,253.0,4131
245,남현동,365,21.0,154.0,2939
246,서원동,918,17.7,256.0,3377
247,신원동,1123,23.1,383.0,3303
248,서림동,1200,18.8,268.0,3676
249,신사동,1249,18.7,379.0,3570
250,신림동,846,9.3,213.0,1970
251,난향동,654,27.1,240.0,2840
252,조원동,724,19.2,258.0,3036
253,대학동,1353,14.5,250.0,3178
254,은천동,1638,25.5,624.0,6075
255,성현동,1570,27.4,663.0,5538
256,청룡동,1166,15.5,456.0,4679
257,난곡동,2148,29.1,666.0,5582
258,삼성동,1612,39.5,691.0,5498
259,미성동,1352,27.5,415.0,6054
260,강일동,2240,25.8,662.0,5779
261,명일1동,375,23.5,147.0,4262
262,명일2동,179,22.6,60.0,2790
263,고덕1동,309,18.4,149.0,3012
264,고덕2동,588,20.0,218.0,3161
265,암사2동,170,23.5,55.0,2521
266,암사3동,133,23.7,60.0,2817
267,천호1동,1659,28.4,579.0,5442
268,천호3동,1402,24.0,561.0,4806
269,성내1동,331,22.0,85.0,3191
270,성내2동,930,25.4,387.0,4447
271,성내3동,706,23.8,217.0,4091
272,둔촌1동,1,19.0,1.0,11
273,둔촌2동,536,24.1,200.0,4244
274,암사1동,1922,25.3,619.0,6290
275,천호2동,2002,24.3,713.0,6109
276,길동,1637,25.4,513.0,8474
277,상일1동,396,18.0,132.0,4835
278,상일2동,689,23.3,251.0,1909
