,시설명,도로명주소,주소,위도,경도
55,동작노인종합복지관,동작구 상도로 11길 7,동작구 상도로 11길 7,0.0,0.0
56,강북노인복지관,강북구 삼양로 80나길 56,강북구 삼양로 80나길 56,0.0,0.0
57,공릉1동 경로당,서울 노원구 동일로179길 22,서울 노원구 동일로179길 22,37.6225567,127.0719916
58,구립곰달래경로당,서울 양천구 남부순환로63길 16-4,서울 양천구 남부순환로63길 16-4,37.5289172,126.8349075
59,구립원송경로당,서울 강북구 오패산로 156-3,서울 강북구 오패산로 156-3,37.6364286,127.0266341
60,청송경로당,서울 동작구 상도로52길 27,서울 동작구 상도로52길 27,37.4978486,126.9512556
61,오류2동 경로당,서울 구로구 오류로8라길 3,서울 구로구 오류로8라길 3,37.4914021,126.8436827
62,용마경로당,서울 중랑구 면목로40길 23 면목7동구립용마경로당,서울 중랑구 면목로40길 23 면목7동구립용마경로당,0.0,0.0
63,정릉3동 경로당,서울 성북구 보국문로17길 18-6,서울 성북구 보국문로17길 18-6,37.6112022,127.008423
64,백송경로당,서울 동작구 노량진로6길 50-14,서울 동작구 노량진로6길 50-14,37.5098187,126.9365337
65,미송경로당,서울 강북구 인수봉로 42,서울 강북구 인수봉로 42,37.6335413,127.0140166
66,솔샘길경로당,서울 강북구 솔샘로 277-1,서울 강북구 솔샘로 277-1,37.6214025,127.0152535
67,도봉노인종합복지관,도봉구 도담로 2길 12-13,도봉구 도담로 2길 12-13,0.0,0.0
