,행정동,기초생활수급자인원,노년부양비,독거노인수,고령자수,고령내국인남성전체,고령내국인여성전체,유년부양비,노령화지수
0,서초1동,356.0,20.5,143.0,3140.0,1442.0,1698.0,14.2,144.9
1,서초2동,157.0,17.1,68.0,3396.0,1608.0,1788.0,18.0,94.6
2,서초3동,359.0,20.4,121.0,5002.0,2332.0,2670.0,11.5,177.9
3,서초4동,70.0,20.4,30.0,4346.0,2064.0,2282.0,22.7,90.0
4,잠원동,254.0,17.4,116.0,3397.0,1497.0,1900.0,17.8,98.0
5,반포본동,10.0,20.1,0.0,41.0,21.0,20.0,23.0,87.2
6,반포1동,458.0,16.6,141.0,4133.0,1856.0,2277.0,21.3,77.8
7,반포2동,7.0,20.1,5.0,2103.0,945.0,1158.0,30.0,66.8
8,반포3동,41.0,20.3,16.0,3268.0,1434.0,1834.0,21.1,96.5
9,반포4동,117.0,21.9,37.0,2996.0,1352.0,1644.0,20.2,108.7
10,방배본동,361.0,21.5,92.0,3195.0,1413.0,1782.0,18.0,119.6
11,방배1동,320.0,24.5,137.0,2990.0,1363.0,1627.0,13.4,182.3
12,방배2동,493.0,26.8,249.0,3549.0,1583.0,1966.0,13.2,202.6
13,방배3동,137.0,27.4,53.0,3301.0,1589.0,1712.0,16.4,167.4
14,방배4동,335.0,21.1,132.0,3600.0,1581.0,2019.0,16.3,129.9
15,양재1동,2293.0,24.3,712.0,7254.0,3125.0,4129.0,18.6,130.7
16,양재2동,678.0,18.4,284.0,3077.0,1370.0,1707.0,11.3,163.4
17,내곡동,815.0,30.0,200.0,3440.0,1598.0,1842.0,22.1,135.8
18,신사동,246.0,27.4,66.0,3071.0,1382.0,1689.0,14.1,194.3
19,논현1동,868.0,16.5,157.0,2974.0,1331.0,1643.0,5.4,304.8
20,논현2동,489.0,19.8,83.0,3186.0,1384.0,1802.0,9.5,209.2
21,삼성1동,168.0,24.0,24.0,2208.0,1022.0,1186.0,14.0,171.6
22,삼성2동,466.0,16.9,109.0,3903.0,1751.0,2152.0,17.1,98.8
23,대치1동,17.0,15.9,4.0,2684.0,1304.0,1380.0,24.9,63.9
24,대치4동,657.0,13.1,112.0,2082.0,900.0,1182.0,9.3,140.6
25,역삼1동,1075.0,12.2,205.0,3673.0,1709.0,1964.0,4.8,251.2
26,역삼2동,570.0,14.0,87.0,3899.0,1722.0,2177.0,19.6,71.3
27,도곡1동,157.0,20.4,40.0,3117.0,1479.0,1638.0,18.8,108.7
28,도곡2동,82.0,22.5,18.0,5119.0,2452.0,2667.0,21.8,103.2
29,개포1동,162.0,37.6,72.0,1676.0,810.0,866.0,17.5,215.0
30,개포4동,713.0,20.0,157.0,3482.0,1605.0,1877.0,15.3,130.7
31,일원본동,125.0,21.1,26.0,3382.0,1580.0,1802.0,22.7,93.2
32,일원1동,1696.0,32.3,447.0,3376.0,1429.0,1947.0,10.6,304.8
33,수서동,3377.0,56.9,1094.0,4930.0,1934.0,2996.0,9.1,623.9
34,세곡동,2342.0,22.8,391.0,6899.0,2974.0,3925.0,20.5,111.3
35,압구정동,152.0,30.5,32.0,5280.0,2375.0,2905.0,18.8,162.0
36,청담동,243.0,20.4,51.0,3814.0,1733.0,2081.0,15.9,128.7
37,대치2동,141.0,20.0,37.0,5334.0,2593.0,2741.0,18.8,106.4
38,개포2동,174.0,18.8,60.0,3916.0,1872.0,2044.0,20.2,92.9
39,풍납1동,522.0,30.9,224.0,2802.0,1248.0,1554.0,10.2,302.6
40,풍납2동,569.0,22.8,173.0,4027.0,1870.0,2157.0,15.2,149.4
41,거여1동,560.0,28.2,205.0,2497.0,1154.0,1343.0,10.0,281.8
42,거여2동,803.0,25.7,368.0,4278.0,1902.0,2376.0,16.6,154.7
43,마천1동,1639.0,33.7,515.0,4317.0,2004.0,2313.0,11.5,292.1
44,마천2동,1509.0,32.8,423.0,4190.0,1900.0,2290.0,9.1,359.3
45,방이1동,328.0,20.4,83.0,2324.0,1076.0,1248.0,14.9,137.0
46,방이2동,905.0,17.1,243.0,3626.0,1637.0,1989.0,7.0,244.5
47,오륜동,9.0,24.9,9.0,3065.0,1490.0,1575.0,19.5,127.7
48,오금동,1605.0,24.9,354.0,6807.0,3114.0,3693.0,13.9,178.7
49,송파1동,581.0,19.3,168.0,3616.0,1657.0,1959.0,8.4,229.1
50,송파2동,359.0,22.2,96.0,3018.0,1443.0,1575.0,16.5,133.9
51,석촌동,995.0,18.9,283.0,4663.0,2100.0,2563.0,8.7,218.5
52,삼전동,1196.0,17.6,324.0,4153.0,1812.0,2341.0,9.1,193.3
53,가락본동,739.0,20.4,194.0,3991.0,1943.0,2048.0,11.4,179.5
54,가락1동,112.0,19.8,60.0,3814.0,1842.0,1972.0,23.2,85.6
55,가락2동,576.0,19.4,135.0,4506.0,2103.0,2403.0,16.4,117.7
56,문정1동,402.0,21.6,118.0,3198.0,1542.0,1656.0,12.4,173.9
57,문정2동,96.0,18.6,39.0,4170.0,2023.0,2147.0,9.9,187.9
58,잠실본동,949.0,26.1,305.0,3008.0,1434.0,1574.0,19.0,137.3
59,잠실4동,31.0,35.7,13.0,2235.0,1073.0,1162.0,14.9,240.3
60,잠실6동,34.0,16.1,13.0,3917.0,1742.0,2175.0,27.1,59.4
61,잠실7동,11.0,26.2,4.0,6070.0,2855.0,3215.0,20.9,125.4
62,잠실2동,33.0,21.7,16.0,4616.0,1991.0,2625.0,15.1,144.2
63,잠실3동,54.0,11.7,28.0,3583.0,1525.0,2058.0,33.4,34.9
64,장지동,1680.0,17.3,356.0,3896.0,1777.0,2119.0,8.0,216.1
65,위례동,1090.0,20.8,206.0,2974.0,1382.0,1592.0,27.8,75.1
66,개포3동,692.0,21.0,453.0,3559.0,1425.0,2134.0,16.8,179.7
