,자치구,행정동,점수,순위
209,양천구,신월5동,-0.4862084052422956,210
210,강서구,우장산동,-0.48730639817706134,211
211,마포구,서강동,-0.49312493052019546,212
212,관악구,남현동,-0.5028133206385867,213
213,마포구,망원2동,-0.5033293697184165,214
214,마포구,아현동,-0.5148404919002909,215
215,양천구,목4동,-0.5196111746677055,216
216,영등포구,신길5동,-0.5529733488955458,217
217,강서구,등촌2동,-0.5606739443963505,218
218,마포구,성산1동,-0.5609511429521644,219
219,동작구,신대방1동,-0.5624628811600715,220
220,마포구,합정동,-0.5660260075334647,221
221,노원구,하계2동,-0.568692736649607,222
222,도봉구,쌍문4동,-0.5706145640050586,223
223,마포구,연남동,-0.5968030024253131,224
224,강동구,명일1동,-0.6040389274913165,225
225,성북구,안암동,-0.6053380483670268,226
226,성북구,정릉1동,-0.6089312588513629,227
227,동작구,상도2동,-0.6177960192512023,228
228,서대문구,북가좌1동,-0.6336859074228199,229
229,강동구,명일2동,-0.6359955631730423,230
230,동대문구,이문2동,-0.6392727047842671,231
231,은평구,응암2동,-0.6400687971288588,232
232,마포구,상암동,-0.6504648821540782,233
233,구로구,구로3동,-0.666216726360953,234
234,성북구,길음2동,-0.6851486134302895,235
235,서대문구,북아현동,-0.6988068177764941,236
236,동작구,사당5동,-0.7071019831027623,237
237,동작구,신대방2동,-0.7119748016296342,238
238,영등포구,문래동,-0.726016546817489,239
239,마포구,용강동,-0.7494011374086229,240
240,성북구,길음1동,-0.7612116640096944,241
241,강동구,성내1동,-0.7638548806396687,242
242,노원구,상계10동,-0.7730762316892495,243
243,중랑구,면목5동,-0.7751860701979837,244
244,성북구,보문동,-0.779754487894545,245
245,성북구,돈암2동,-0.7882014805814713,246
246,영등포구,당산2동,-0.7916064450679058,247
247,마포구,신수동,-0.807030574169371,248
248,구로구,신도림동,-0.8111775989699017,249
249,강동구,암사2동,-0.8366687743654234,250
250,양천구,신월6동,-0.8477508216719711,251
251,강동구,상일2동,-0.9023570779103937,252
252,강동구,암사3동,-0.9116092204717768,253
253,동대문구,휘경1동,-0.9118019674648948,254
254,강동구,상일1동,-0.9139033470754628,255
255,서대문구,남가좌1동,-0.915007475019451,256
256,관악구,낙성대동,-0.9384564219054803,257
257,강동구,고덕2동,-0.9496696475128178,258
258,강서구,등촌1동,-0.9577006553818354,259
259,양천구,목5동,-0.965604234518275,260
260,강동구,둔촌1동,-0.9661173428402413,261
261,동대문구,회기동,-1.0056998157787913,262
262,마포구,염리동,-1.0149473475667954,263
263,노원구,상계8동,-1.0152252624309994,264
264,양천구,신정1동,-1.0300822707025679,265
265,강서구,염창동,-1.0446753779695426,266
266,성북구,장위3동,-1.059665186520135,267
267,영등포구,양평1동,-1.067243015244648,268
268,구로구,구로1동,-1.0853324148525512,269
269,영등포구,신길7동,-1.1087580911632464,270
270,서대문구,신촌동,-1.1229043546198962,271
271,강서구,가양1동,-1.133453115412813,272
272,강동구,고덕1동,-1.1373543264147805,273
273,양천구,목1동,-1.1522691299624594,274
274,영등포구,양평2동,-1.1693400615811445,275
275,양천구,신정6동,-1.1762240819945469,276
276,노원구,중계본동,-1.2047721851963655,277
277,노원구,중계1동,-1.2987022687324299,278
278,구로구,항동,-1.3527154471393061,279
