,행정동,기초생활수급자인원,노년부양비,독거노인수,고령내국인전체,노령화지수
0,서초1동,356.0,20.5,143.0,3140.0,144.9
1,서초2동,157.0,17.1,68.0,3396.0,94.6
2,서초3동,359.0,20.4,121.0,5002.0,177.9
3,서초4동,70.0,20.4,30.0,4346.0,90.0
4,잠원동,254.0,17.4,116.0,3397.0,98.0
5,반포본동,10.0,20.1,0.0,41.0,87.2
6,반포1동,458.0,16.6,141.0,4133.0,77.8
7,반포2동,7.0,20.1,5.0,2103.0,66.8
8,반포3동,41.0,20.3,16.0,3268.0,96.5
9,반포4동,117.0,21.9,37.0,2996.0,108.7
10,방배본동,361.0,21.5,92.0,3195.0,119.6
11,방배1동,320.0,24.5,137.0,2990.0,182.3
12,방배2동,493.0,26.8,249.0,3549.0,202.6
13,방배3동,137.0,27.4,53.0,3301.0,167.4
14,방배4동,335.0,21.1,132.0,3600.0,129.9
15,양재1동,2293.0,24.3,712.0,7254.0,130.7
16,양재2동,678.0,18.4,284.0,3077.0,163.4
17,내곡동,815.0,30.0,200.0,3440.0,135.8
18,신사동,246.0,27.4,66.0,3071.0,194.3
19,논현1동,868.0,16.5,157.0,2974.0,304.8
20,논현2동,489.0,19.8,83.0,3186.0,209.2
21,삼성1동,168.0,24.0,24.0,2208.0,171.6
22,삼성2동,466.0,16.9,109.0,3903.0,98.8
23,대치1동,17.0,15.9,4.0,2684.0,63.9
24,대치4동,657.0,13.1,112.0,2082.0,140.6
25,역삼1동,1075.0,12.2,205.0,3673.0,251.2
26,역삼2동,570.0,14.0,87.0,3899.0,71.3
27,도곡1동,157.0,20.4,40.0,3117.0,108.7
28,도곡2동,82.0,22.5,18.0,5119.0,103.2
29,개포1동,162.0,37.6,72.0,1676.0,215.0
30,개포4동,713.0,20.0,157.0,3482.0,130.7
31,일원본동,125.0,21.1,26.0,3382.0,93.2
32,일원1동,1696.0,32.3,447.0,3376.0,304.8
33,수서동,3377.0,56.9,1094.0,4930.0,623.9
34,세곡동,2342.0,22.8,391.0,6899.0,111.3
35,압구정동,152.0,30.5,32.0,5280.0,162.0
36,청담동,243.0,20.4,51.0,3814.0,128.7
37,대치2동,141.0,20.0,37.0,5334.0,106.4
38,개포2동,174.0,18.8,60.0,3916.0,92.9
39,풍납1동,522.0,30.9,224.0,2802.0,302.6
40,풍납2동,569.0,22.8,173.0,4027.0,149.4
41,거여1동,560.0,28.2,205.0,2497.0,281.8
42,거여2동,803.0,25.7,368.0,4278.0,154.7
43,마천1동,1639.0,33.7,515.0,4317.0,292.1
44,마천2동,1509.0,32.8,423.0,4190.0,359.3
45,방이1동,328.0,20.4,83.0,2324.0,137.0
46,방이2동,905.0,17.1,243.0,3626.0,244.5
47,오륜동,9.0,24.9,9.0,3065.0,127.7
48,오금동,1605.0,24.9,354.0,6807.0,178.7
49,송파1동,581.0,19.3,168.0,3616.0,229.1
50,송파2동,359.0,22.2,96.0,3018.0,133.9
51,석촌동,995.0,18.9,283.0,4663.0,218.5
52,삼전동,1196.0,17.6,324.0,4153.0,193.3
53,가락본동,739.0,20.4,194.0,3991.0,179.5
54,가락1동,112.0,19.8,60.0,3814.0,85.6
55,가락2동,576.0,19.4,135.0,4506.0,117.7
56,문정1동,402.0,21.6,118.0,3198.0,173.9
57,문정2동,96.0,18.6,39.0,4170.0,187.9
58,잠실본동,949.0,26.1,305.0,3008.0,137.3
59,잠실4동,31.0,35.7,13.0,2235.0,240.3
60,잠실6동,34.0,16.1,13.0,3917.0,59.4
61,잠실7동,11.0,26.2,4.0,6070.0,125.4
62,잠실2동,33.0,21.7,16.0,4616.0,144.2
63,잠실3동,54.0,11.7,28.0,3583.0,34.9
64,장지동,1680.0,17.3,356.0,3896.0,216.1
65,위례동,1090.0,20.8,206.0,2974.0,75.1
66,개포3동,692.0,21.0,453.0,3559.0,179.7
