,행정동,기초생활수급자인원,노년부양비,독거노인수,고령내국인전체,노령화지수
91,상계10동,437.0,21.4,86.0,2922.0,151.6
92,상계3.4동,2610.0,36.1,1001.0,6169.0,303.4
93,상계6.7동,1077.0,22.5,198.0,5270.0,156.5
94,중계2.3동,4920.0,33.4,1494.0,7662.0,263.9
95,공릉1동,2447.0,25.0,832.0,6867.0,242.3
96,녹번동,1749.0,28.0,640.0,7294.0,219.4
97,불광1동,1849.0,29.4,721.0,7964.0,252.9
98,갈현1동,1799.0,28.5,395.0,3549.0,314.5
99,갈현2동,1456.0,25.1,390.0,5192.0,230.2
100,구산동,1536.0,27.8,462.0,6372.0,239.2
101,대조동,1595.0,26.0,531.0,5178.0,316.2
102,응암1동,1155.0,22.4,347.0,5394.0,144.6
103,응암2동,1081.0,21.4,381.0,4138.0,93.6
104,신사1동,1099.0,26.7,301.0,5210.0,237.1
105,신사2동,1119.0,28.4,294.0,3957.0,250.3
106,증산동,680.0,27.0,184.0,3575.0,203.2
107,수색동,574.0,25.0,250.0,2373.0,181.1
108,진관동,1592.0,22.1,483.0,8631.0,117.6
109,불광2동,2234.0,31.3,769.0,6119.0,398.3
110,응암3동,1914.0,33.7,655.0,5749.0,400.1
111,역촌동,2368.0,26.9,749.0,8727.0,239.8
112,천연동,754.0,27.2,378.0,3266.0,190.9
113,홍제1동,787.0,27.7,285.0,4807.0,206.2
114,홍제3동,752.0,31.7,293.0,3934.0,263.0
115,홍제2동,599.0,29.5,260.0,2798.0,256.0
116,홍은1동,779.0,29.4,321.0,4703.0,225.4
117,홍은2동,1229.0,26.8,309.0,5308.0,244.3
118,남가좌1동,287.0,20.2,123.0,2276.0,72.0
119,남가좌2동,1330.0,22.8,448.0,4965.0,136.9
120,북가좌1동,544.0,24.8,164.0,3097.0,141.7
121,북가좌2동,1521.0,29.1,486.0,6502.0,283.3
122,충현동,718.0,23.1,279.0,3468.0,197.7
123,북아현동,595.0,20.1,209.0,2318.0,123.0
124,신촌동,534.0,9.3,115.0,2114.0,207.7
125,연희동,929.0,21.6,294.0,5946.0,235.6
126,용강동,431.0,19.6,230.0,3025.0,94.2
127,대흥동,483.0,15.1,171.0,1976.0,203.3
128,염리동,405.0,15.7,212.0,2072.0,92.7
129,신수동,410.0,20.1,178.0,3371.0,138.8
130,서교동,418.0,15.0,122.0,3299.0,284.1
131,합정동,566.0,20.2,147.0,2675.0,240.4
132,망원1동,722.0,22.8,266.0,3391.0,244.9
133,망원2동,529.0,23.7,185.0,3215.0,198.0
134,연남동,271.0,19.5,138.0,2299.0,278.7
135,성산1동,584.0,20.8,248.0,3018.0,218.3
136,성산2동,2194.0,21.7,796.0,6411.0,184.3
137,상암동,1219.0,19.1,346.0,4255.0,102.7
138,도화동,503.0,25.1,121.0,3795.0,180.7
139,서강동,346.0,16.8,153.0,3307.0,130.7
140,공덕동,1151.0,21.5,497.0,6057.0,197.8
141,아현동,524.0,17.8,201.0,3367.0,93.2
142,목1동,345.0,16.1,161.0,3495.0,66.9
143,목2동,1119.0,19.4,300.0,4400.0,177.5
144,목3동,1094.0,21.9,289.0,3591.0,208.9
145,목4동,997.0,17.8,265.0,3397.0,136.2
146,신월1동,1804.0,30.7,606.0,4443.0,325.0
147,신월2동,785.0,28.7,264.0,4102.0,193.6
148,신월3동,1516.0,29.1,489.0,3084.0,256.7
149,신월4동,414.0,28.6,150.0,3487.0,172.6
150,신월5동,767.0,25.1,230.0,2614.0,192.9
151,신월6동,268.0,20.8,96.0,2029.0,100.5
152,신월7동,1072.0,33.3,388.0,4447.0,321.7
153,신정1동,263.0,20.3,97.0,2840.0,92.1
154,신정2동,711.0,19.9,311.0,2728.0,106.8
155,신정3동,2380.0,22.3,634.0,8081.0,130.9
156,신정6동,77.0,17.5,19.0,3041.0,82.2
157,신정7동,1781.0,26.5,760.0,5283.0,159.9
158,목5동,49.0,17.3,18.0,5033.0,75.6
159,신정4동,1758.0,25.1,555.0,6140.0,267.4
160,염창동,233.0,15.0,88.0,4650.0,78.2
161,등촌1동,309.0,15.2,88.0,3048.0,169.6
162,등촌2동,432.0,22.7,125.0,3350.0,192.4
163,등촌3동,5507.0,34.2,1970.0,7059.0,307.7
164,화곡본동,1904.0,19.8,481.0,5149.0,180.2
165,화곡2동,935.0,23.3,274.0,3047.0,189.4
166,화곡3동,677.0,27.7,205.0,4280.0,231.1
167,화곡4동,1228.0,27.3,365.0,4034.0,251.1
168,화곡6동,1019.0,21.4,333.0,4147.0,238.2
169,화곡8동,1145.0,25.4,319.0,4553.0,262.5
170,가양1동,307.0,11.5,80.0,3292.0,143.7
171,가양2동,3330.0,49.6,1457.0,4394.0,683.7
172,가양3동,2312.0,38.9,926.0,3860.0,442.4
173,발산1동,1546.0,19.8,366.0,5132.0,100.4
174,공항동,1771.0,20.1,418.0,4398.0,100.1
175,방화1동,1210.0,23.4,386.0,7037.0,123.4
176,방화2동,1698.0,30.4,724.0,5021.0,286.1
177,방화3동,2276.0,36.5,978.0,5531.0,302.7
178,화곡1동,1971.0,21.5,640.0,8695.0,263.3
179,우장산동,694.0,20.2,210.0,6203.0,105.3
180,신도림동,188.0,19.2,83.0,4984.0,97.1
181,구로1동,100.0,18.6,45.0,2857.0,106.6
182,구로3동,492.0,18.6,176.0,3548.0,193.4
183,구로4동,957.0,28.8,457.0,4597.0,360.2
184,구로5동,496.0,20.7,255.0,4854.0,204.0
185,고척1동,667.0,24.5,216.0,4551.0,187.5
186,고척2동,1176.0,30.0,439.0,5526.0,224.2
187,개봉2동,811.0,32.4,318.0,6774.0,237.0
188,개봉3동,658.0,31.5,240.0,4445.0,277.0
189,오류1동,1099.0,24.1,449.0,4158.0,259.2
190,수궁동,931.0,21.8,310.0,4703.0,419.5
191,가리봉동,643.0,27.6,300.0,1954.0,329.8
192,구로2동,1128.0,27.7,515.0,5713.0,215.3
193,개봉1동,1645.0,28.2,486.0,6669.0,154.9
194,오류2동,1774.0,28.7,491.0,7373.0,220.0
195,항동,598.0,15.9,89.0,1785.0,51.6
196,가산동,801.0,12.4,289.0,2726.0,280.1
197,독산1동,1765.0,16.8,602.0,6124.0,139.8
198,독산2동,1329.0,25.3,461.0,3615.0,271.0
199,독산3동,1102.0,23.6,455.0,4678.0,300.2
200,독산4동,919.0,25.2,294.0,3016.0,279.2
201,시흥1동,1627.0,26.2,686.0,6443.0,250.0
202,시흥2동,1295.0,30.1,531.0,4291.0,187.9
203,시흥3동,414.0,33.2,166.0,2464.0,318.0
204,시흥4동,1275.0,30.1,486.0,4365.0,277.7
205,시흥5동,1768.0,34.1,681.0,4504.0,322.6
206,여의동,135.0,28.4,47.0,6341.0,155.0
207,당산1동,569.0,22.2,230.0,3479.0,237.2
208,당산2동,294.0,17.0,100.0,4830.0,129.9
209,양평1동,314.0,16.8,125.0,2416.0,137.4
210,양평2동,278.0,14.8,112.0,2625.0,120.4
211,신길1동,953.0,23.1,398.0,3511.0,293.0
212,신길3동,811.0,26.9,293.0,3236.0,192.5
213,신길4동,707.0,26.7,325.0,2416.0,190.0
214,신길5동,577.0,26.9,232.0,2060.0,185.9
215,신길6동,529.0,24.1,232.0,3429.0,212.3
216,신길7동,289.0,18.6,118.0,2657.0,91.5
217,대림1동,636.0,27.9,276.0,3168.0,247.5
218,대림2동,517.0,24.0,256.0,2846.0,315.0
219,대림3동,909.0,25.7,336.0,4600.0,252.7
220,영등포본동,1020.0,26.7,451.0,4257.0,230.8
221,영등포동,1635.0,13.6,620.0,3395.0,222.7
222,도림동,802.0,22.9,364.0,3260.0,244.7
223,문래동,276.0,21.0,129.0,4823.0,104.3
224,노량진2동,884.0,26.4,333.0,2221.0,533.1
225,상도1동,1231.0,21.1,510.0,7352.0,193.8
226,상도2동,522.0,21.8,188.0,4390.0,131.2
227,상도3동,1141.0,25.4,339.0,4607.0,280.1
228,상도4동,1386.0,25.6,444.0,5339.0,236.3
229,사당1동,784.0,21.5,266.0,3874.0,388.8
230,사당3동,585.0,27.7,177.0,4656.0,172.3
231,사당4동,563.0,26.4,203.0,2770.0,313.4
232,사당5동,377.0,23.1,141.0,2443.0,179.1
233,대방동,1519.0,21.0,516.0,5805.0,161.7
234,신대방1동,597.0,22.2,251.0,3947.0,158.8
235,신대방2동,589.0,20.9,186.0,3456.0,144.1
236,흑석동,863.0,23.6,272.0,5254.0,168.9
237,노량진1동,1213.0,25.2,467.0,5949.0,234.7
238,사당2동,589.0,28.7,276.0,5809.0,216.9
239,보라매동,1158.0,25.4,376.0,4635.0,287.4
240,청림동,620.0,27.0,258.0,2834.0,171.9
241,행운동,1040.0,19.2,421.0,4515.0,301.1
242,낙성대동,444.0,13.6,137.0,2025.0,229.9
243,중앙동,608.0,18.9,233.0,2393.0,398.2
244,인헌동,761.0,20.3,253.0,4131.0,269.0
245,남현동,365.0,21.0,154.0,2939.0,257.7
246,서원동,918.0,17.7,256.0,3377.0,383.0
247,신원동,1123.0,23.1,383.0,3303.0,417.1
248,서림동,1200.0,18.8,268.0,3676.0,326.6
249,신사동,1249.0,18.7,379.0,3570.0,304.4
250,신림동,846.0,9.3,213.0,1970.0,434.3
251,난향동,654.0,27.1,240.0,2840.0,169.6
252,조원동,724.0,19.2,258.0,3036.0,283.0
253,대학동,1353.0,14.5,250.0,3178.0,290.5
254,은천동,1638.0,25.5,624.0,6075.0,202.2
255,성현동,1570.0,27.4,663.0,5538.0,185.0
256,청룡동,1166.0,15.5,456.0,4679.0,261.4
257,난곡동,2148.0,29.1,666.0,5582.0,307.0
258,삼성동,1612.0,39.5,691.0,5498.0,455.3
259,미성동,1352.0,27.5,415.0,6054.0,249.0
260,강일동,2240.0,25.8,662.0,5779.0,119.3
261,명일1동,375.0,23.5,147.0,4262.0,132.1
262,명일2동,179.0,22.6,60.0,2790.0,127.2
263,고덕1동,309.0,18.4,149.0,3012.0,66.9
264,고덕2동,588.0,20.0,218.0,3161.0,84.0
265,암사2동,170.0,23.5,55.0,2521.0,141.6
266,암사3동,133.0,23.7,60.0,2817.0,102.7
267,천호1동,1659.0,28.4,579.0,5442.0,274.6
268,천호3동,1402.0,24.0,561.0,4806.0,276.4
269,성내1동,331.0,22.0,85.0,3191.0,144.3
270,성내2동,930.0,25.4,387.0,4447.0,309.3
271,성내3동,706.0,23.8,217.0,4091.0,232.2
272,둔촌1동,1.0,19.0,1.0,11.0,275.0
273,둔촌2동,536.0,24.1,200.0,4244.0,175.7
274,암사1동,1922.0,25.3,619.0,6290.0,208.4
275,천호2동,2002.0,24.3,713.0,6109.0,250.6
276,길동,1637.0,25.4,513.0,8474.0,245.5
277,상일1동,396.0,18.0,132.0,4835.0,65.3
278,상일2동,689.0,23.3,251.0,1909.0,104.9
