,행정동,기초생활수급자인원,노년부양비,독거노인수,고령내국인전체,노령화지수
0,회기동,364.0,13.8,99.0,1552.0,230.5
1,휘경1동,386.0,16.6,128.0,2164.0,200.1
2,휘경2동,703.0,22.1,215.0,4106.0,214.2
3,청량리동,1741.0,43.8,915.0,5443.0,473.3
4,용신동,1680.0,22.3,761.0,6103.0,250.0
5,제기동,1577.0,30.6,772.0,5830.0,391.6
6,전농1동,1837.0,27.8,807.0,5795.0,237.6
7,전농2동,805.0,29.5,330.0,3807.0,203.3
8,답십리2동,1313.0,24.0,566.0,5774.0,189.1
9,장안1동,1620.0,23.4,481.0,6780.0,133.2
10,장안2동,1366.0,19.0,370.0,5419.0,287.2
11,이문1동,743.0,29.2,277.0,3218.0,214.3
12,이문2동,1009.0,20.0,401.0,4110.0,118.7
13,답십리1동,866.0,29.3,326.0,4154.0,227.5
14,면목2동,1715.0,27.1,550.0,4777.0,271.5
15,면목4동,1807.0,29.5,557.0,3914.0,253.3
16,면목5동,813.0,22.3,194.0,2375.0,132.4
17,면목7동,1137.0,28.5,377.0,4456.0,270.9
18,상봉1동,1714.0,23.2,463.0,3991.0,161.5
19,상봉2동,1103.0,18.7,328.0,3075.0,283.3
20,중화1동,1105.0,27.7,305.0,3830.0,238.5
21,중화2동,2511.0,28.3,788.0,5153.0,360.2
22,묵1동,1265.0,24.7,365.0,6140.0,182.6
23,묵2동,1100.0,27.9,350.0,3752.0,273.8
24,망우3동,1921.0,29.9,552.0,3503.0,324.5
25,신내1동,2097.0,27.2,570.0,7200.0,158.6
26,신내2동,1440.0,30.7,521.0,4295.0,233.7
27,면목본동,2540.0,25.0,835.0,6341.0,302.3
28,면목3.8동,1970.0,28.9,600.0,5164.0,339.5
29,망우본동,2343.0,26.7,893.0,6824.0,198.2
30,돈암1동,621.0,29.1,384.0,2988.0,246.1
31,돈암2동,372.0,21.6,214.0,3646.0,117.7
32,안암동,482.0,14.7,197.0,2105.0,327.6
33,보문동,486.0,20.5,219.0,2578.0,171.5
34,정릉1동,423.0,24.9,215.0,3208.0,154.3
35,정릉2동,758.0,28.4,303.0,4608.0,225.8
36,정릉3동,755.0,27.5,391.0,3385.0,397.5
37,정릉4동,850.0,28.3,393.0,4988.0,219.5
38,길음1동,592.0,19.8,371.0,4809.0,81.8
39,길음2동,516.0,20.0,310.0,3108.0,101.4
40,월곡1동,1018.0,26.9,481.0,4915.0,167.1
41,월곡2동,748.0,25.8,370.0,3721.0,239.0
42,장위1동,2013.0,24.2,591.0,4201.0,168.3
43,장위2동,1076.0,32.9,429.0,3138.0,339.7
44,장위3동,593.0,19.2,215.0,2192.0,96.6
45,성북동,416.0,24.6,181.0,3061.0,250.6
46,삼선동,865.0,23.2,390.0,4016.0,243.0
47,동선동,458.0,17.1,207.0,2178.0,270.1
48,종암동,1401.0,24.0,632.0,6975.0,176.4
49,석관동,1886.0,29.9,723.0,7473.0,270.6
50,번1동,1223.0,27.7,415.0,3801.0,382.2
51,번2동,1886.0,39.8,644.0,4122.0,446.8
52,번3동,2857.0,46.2,945.0,4784.0,366.0
53,수유1동,1536.0,31.5,525.0,4572.0,333.8
54,수유2동,1372.0,35.5,473.0,5120.0,346.1
55,수유3동,1718.0,26.9,537.0,4794.0,442.0
56,삼양동,1735.0,30.9,611.0,5015.0,275.5
57,미아동,1280.0,29.2,521.0,4607.0,376.2
58,송중동,1503.0,29.1,550.0,6192.0,264.4
59,송천동,1887.0,34.4,744.0,6255.0,429.8
60,삼각산동,1319.0,21.6,564.0,4703.0,105.8
61,우이동,1220.0,36.1,399.0,4987.0,321.6
62,인수동,2118.0,35.4,686.0,7218.0,317.7
63,쌍문1동,1275.0,31.4,398.0,4719.0,283.0
64,쌍문2동,1060.0,31.0,378.0,4020.0,282.6
65,쌍문3동,939.0,29.1,317.0,3542.0,291.7
66,쌍문4동,360.0,24.9,111.0,3276.0,170.1
67,방학1동,1868.0,31.0,599.0,6174.0,271.1
68,방학2동,2454.0,34.4,720.0,4595.0,331.0
69,방학3동,408.0,29.6,135.0,5386.0,183.4
70,창1동,613.0,28.0,235.0,4865.0,217.7
71,창2동,1291.0,26.2,358.0,5494.0,220.9
72,창3동,1153.0,32.0,343.0,3039.0,280.5
73,창4동,351.0,23.7,140.0,4501.0,173.5
74,창5동,627.0,26.2,196.0,4620.0,218.5
75,도봉1동,1603.0,44.0,641.0,5925.0,488.1
76,도봉2동,1079.0,38.9,539.0,6786.0,317.0
77,월계1동,892.0,27.4,294.0,4277.0,251.3
78,월계2동,3136.0,34.2,1113.0,6042.0,255.7
79,월계3동,2079.0,31.7,751.0,6371.0,219.9
80,공릉2동,965.0,18.8,337.0,5922.0,116.4
81,하계1동,2904.0,23.2,1039.0,4691.0,228.0
82,하계2동,1241.0,21.7,361.0,3404.0,133.8
83,중계본동,616.0,14.9,151.0,2617.0,79.3
84,중계1동,787.0,13.0,215.0,2556.0,58.7
85,중계4동,1832.0,30.4,726.0,4131.0,221.2
86,상계1동,1908.0,28.2,595.0,7552.0,220.2
87,상계2동,1038.0,24.1,317.0,3524.0,237.3
88,상계5동,2059.0,31.2,551.0,5241.0,305.1
89,상계8동,353.0,18.8,60.0,3053.0,99.8
90,상계9동,528.0,25.5,136.0,3675.0,189.3
