,자치구,저체중률
0,종로구,5.3
1,중구,5.3
2,용산구,3.8
3,성동구,6.7
4,광진구,6.5
5,동대문구,2.7
6,중랑구,3.7
7,성북구,4.8
8,강북구,5.7
9,도봉구,4.8
10,노원구,4.8
11,은평구,3.0
12,서대문구,7.2
13,마포구,5.5
14,양천구,5.1
15,강서구,5.4
16,구로구,3.5
17,금천구,4.3
18,영등포구,4.9
19,동작구,6.0
20,관악구,5.6
21,서초구,8.3
22,강남구,6.4
23,송파구,4.6
24,강동구,5.5
